year,periodenddate,institutionid,tcprimarysectorid,Absolute_GHG_Scope1,Absolute_GHG_Scope2,Scope2_Disclosure,Absolute_GHG_Scope3_Up,Absolute_GHG_Scope3_Down,di_319404,Intensity_GHG_Scope1,Intensity_GHG_Scope2,Intensity_GHG_Scope3_Down,Intensity_GHG_Scope3_Up,di_319407.1,di_319409.1,di_326738.1,Scope3_Disclosure,Alignment_Gap_2C,Alignment_Gap_WB_2C,Alignment_Gap_4C,Alignment_Gap_3C,Alignment_Gap_4C,WB_2C_Aligned_Intensity_Adjusted_Profit,WB_2C_Aligned_Emissions,2C_Aligned_Emissions,2C_Aligned_Intensity_Adjusted_Profit,reportedcurrencyisocode,periodemissionid,emissionyear,dltt,datadate,seq,cheb,chee,ebit,conm,sich,naicsh,GROSS_PROFIT_MARGIN_5_YR_AVG,OPERATING_PROFIT_MARGIN_5_YR_AVG,GROSS_PROFIT_MARGIN,OPERATING_PROFIT_MARGIN,FISCAL_PERIOD_END_DATE,CUSIP,periodid,baseyear,horizonyear,basehorizonyear,forwardlookingdsname,methodologyname,alignmenttypename,yearfounded,ticker,country,gvkey,companyname
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,5.071176,31888.12797,50908.78931,8.096036,USD,09138CC9-E4E0-4C9A-B310-91956AEFE6DA,2025,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,5.452877,32967.20347,51104.1966,8.452792,USD,158AAB7E-D773-43FC-952E-C49D7082119F,2024,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,3.793503,27913.65374,50134.60345,6.81336,USD,1F7DB9C1-6F82-4704-95B0-AB0F5C853B12,2029,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,9.062439,43851.65176,53579.26748,11.07276,USD,3AE35402-5C76-4137-9708-7C94F81907DF,2017,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,4.38606,29834.78109,50520.21342,7.427059,USD,41D6C30B-A23B-4AA5-A4BA-DCF72C24F66E,2027,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,11.266687,64040.30221,69383.74,12.206764,USD,49E32CD4-8207-480E-BDAE-D40FDF29DD70,2014,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,7.289436,37661.22531,51893.35506,10.044105,USD,6D5D6929-F897-45FB-AEBF-8E171A871065,2020,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,7.838103,42633.82716,56437.72012,10.375908,USD,77E0D36B-D738-4FFC-BBED-6CB480C14D33,2019,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,13.026578,62116.64,62116.64,13.026578,USD,7F3AE78D-9700-4CB8-B6E8-2816E719182E,2012,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
2020,2020-03-31,113835,523000,2504.22,44339.961,Estimate used instead of disclosure - data does not cover global operations,175209.519,2049.928416,0.4051569096,0.405,7.174,0.3316572274,28.347,0.405,28.347,0.3316572274,Exact Value from CDP,-532362.2678,-265070.5785,-772135.4024,-715141.1513,-811175.373,6.779175,36428.50609,51694.93026,9.620186,USD,884D09AB-9B57-4665-9450-50CBE7809B04,2021,2562498,2020-03-31,1342696,,,254078,DAIWA SECURITIES GROUP INC,6211,523120,,10.29422,,,2000-09-30,,DB7C0A55-DCF5-4E8A-B5E4-359EF6D355F9,2012,2030,2012 - 2030,Company target,GEVA,<1.5°C,1902,8601,Japan,15483,Daiwa Securities Group Inc.
